Subject,Item,Status,Manipulability,Actual RT,Accuracy
45,Laine-AMPUUSI,New,NA,733,1
45,potter17,Old,NA,557,0
45,battleship,Old,nonmanipulable,544,1
45,Plank25,New,NA,557,1
45,Plank36,New,NA,500,1
45,Eals22,Old,NA,827,1
45,jellyfish,New,nonmanipulable,627,0
45,Plank4,Old,NA,725,1
45,yo-yo,Old,manipulable,749,1
45,ladybug,Old,nonmanipulable,557,1
45,Eals26,New,NA,487,1
45,crab,Old,nonmanipulable,537,1
45,potter22,Old,NA,665,0
45,Laine-JYRSIN,Old,NA,576,0
45,bucket,New,manipulable,414,0
45,Plank5,Old,NA,590,0
45,fountain,New,nonmanipulable,625,1
45,cymbals,New,manipulable,689,1
45,watering-can,Old,manipulable,612,1
45,Plank11,New,NA,448,1
45,starfish,New,nonmanipulable,541,0
45,Laine-karttu,Old,NA,557,0
45,ram,New,nonmanipulable,513,0
45,Plank37,New,NA,416,1
45,potter7,Old,NA,528,0
45,Plank13,Old,NA,736,1
45,hamster,Old,nonmanipulable,644,1
45,pitcher,New,manipulable,437,1
45,teapot,Old,manipulable,457,1
45,potter26,Old,NA,500,0
45,Plank3,Old,NA,664,0
45,Laine-tuura,New,NA,596,1
45,matches,Old,manipulable,500,0
45,potter14,New,NA,632,1
45,hippopotamus,Old,nonmanipulable,445,1
45,potter6,New,NA,452,1
45,frog,New,nonmanipulable,350,0
45,floss,Old,manipulable,643,1
45,firetruck,New,nonmanipulable,571,1
45,Laine-NORHA,Old,NA,562,0
45,camcorder,Old,manipulable,500,0
45,weasel,New,nonmanipulable,584,1
45,Laine-KALKKU,Old,NA,626,1
45,potter8,Old,NA,503,0
45,Laine-LAVISTIN,New,NA,563,1
45,tank,New,nonmanipulable,544,0
45,bottle,New,manipulable,500,1
45,Laine-naskain,Old,NA,798,0
45,llama,Old,nonmanipulable,489,1
45,toaster,New,manipulable,410,1
45,Plank48,New,NA,531,1
45,potter3,New,NA,500,1
45,Plank49,Old,NA,622,0
45,dolphin,Old,nonmanipulable,408,1
45,trombone,Old,manipulable,469,1
45,brain,New,nonmanipulable,419,0
45,potter15,Old,NA,496,0
45,satellite,New,nonmanipulable,671,1
45,tape,Old,manipulable,483,1
45,stoplight,Old,nonmanipulable,601,1
45,Laine-MAALITSA,Old,NA,407,1
45,Laine-LISTIN,New,NA,500,1
45,Laine-kosseli,Old,NA,578,0
45,mammoth,New,nonmanipulable,469,0
45,platypus,Old,nonmanipulable,500,0
45,Laine-pynna,Old,NA,690,1
45,compass,New,manipulable,594,1
45,potter4,New,NA,603,1
45,Plank50,Old,NA,672,1
45,hose,Old,manipulable,655,0
45,barbell,Old,manipulable,595,1
45,Laine-HAAHLA,New,NA,507,1
45,seaturtle,New,nonmanipulable,435,1
45,plank108,New,NA,303,0
45,lighthouse,Old,nonmanipulable,269,0
45,Laine-liippa,New,NA,406,1
45,plant,Old,nonmanipulable,363,1
45,Laine-pintta,New,NA,380,1
45,strainer,Old,manipulable,307,1
45,colander,New,manipulable,304,1
45,Eals10,Old,NA,330,1
45,Eals29,Old,NA,239,0
45,potter29,New,NA,641,1
45,vacuum,Old,manipulable,422,1
45,Eals32,New,NA,334,1
45,potter1,New,NA,357,0
45,shark,Old,nonmanipulable,253,0
45,potter27,New,NA,426,0
45,saturn,Old,nonmanipulable,487,1
45,mug,New,manipulable,624,1
45,Laine-vemmel,New,NA,480,0
45,Laine-PALIN,Old,NA,394,0
45,cane,New,manipulable,484,1
46,tepee,Old,nonmanipulable,560,1
46,potter24,New,NA,502,1
46,Laine-LUISTI,New,NA,645,1
46,bellows,New,manipulable,516,1
46,potter9,Old,NA,652,0
46,legos,Old,manipulable,1003,1
46,heater,New,nonmanipulable,541,1
46,Laine-RIITMOTT,Old,NA,486,1
46,mouse,New,manipulable,493,0
46,Eals23,Old,NA,570,1
46,whisk,New,manipulable,601,1
46,razor,New,manipulable,594,1
46,Plank17,Old,NA,510,1
46,chimney,Old,nonmanipulable,674,1
46,Eals14,New,NA,698,1
46,sloth,Old,nonmanipulable,963,1
46,stamp,New,manipulable,565,1
46,battery,New,manipulable,633,1
46,Laine-HOYLA,New,NA,729,1
46,Eals08,Old,NA,624,1
46,whale,New,nonmanipulable,666,1
46,Eals12,New,NA,570,1
46,potter12,Old,NA,572,1
46,potter16,New,NA,600,1
46,needle,Old,manipulable,487,1
46,frisbee,New,manipulable,557,1
46,moose,New,nonmanipulable,617,1
46,kirk1,Old,NA,423,1
46,Eals19,New,NA,496,0
46,Plank45,New,NA,694,1
46,drawer,New,nonmanipulable,555,1
46,Laine-ROVE,Old,NA,727,1
46,potter11,New,NA,759,1
46,headphones,Old,manipulable,554,1
46,ruler,Old,manipulable,489,1
46,Laine-AMPUUSI,New,NA,641,1
46,potter17,Old,NA,532,1
46,battleship,Old,nonmanipulable,968,1
46,Plank25,New,NA,758,0
46,Plank36,New,NA,723,0
46,Eals22,Old,NA,473,1
46,jellyfish,New,nonmanipulable,929,1
46,Plank4,Old,NA,561,1
46,yo-yo,Old,manipulable,485,1
46,ladybug,Old,nonmanipulable,471,1
46,Eals26,New,NA,508,1
46,crab,Old,nonmanipulable,495,1
46,potter22,Old,NA,588,1
46,Laine-JYRSIN,Old,NA,474,1
46,bucket,New,manipulable,587,1
46,Plank5,Old,NA,573,1
46,fountain,New,nonmanipulable,547,1
46,cymbals,New,manipulable,677,1
46,watering-can,Old,manipulable,551,1
46,Plank11,New,NA,635,1
46,starfish,New,nonmanipulable,525,1
46,Laine-karttu,Old,NA,640,0
46,ram,New,nonmanipulable,681,1
46,Plank37,New,NA,719,1
46,potter7,Old,NA,624,1
46,Plank13,Old,NA,664,1
46,hamster,Old,nonmanipulable,628,0
46,pitcher,New,manipulable,605,1
46,teapot,Old,manipulable,551,1
46,potter26,Old,NA,526,1
46,Plank3,Old,NA,602,0
46,Laine-tuura,New,NA,508,1
46,matches,Old,manipulable,926,1
46,potter14,New,NA,729,1
46,hippopotamus,Old,nonmanipulable,817,1
46,potter6,New,NA,576,0
46,frog,New,nonmanipulable,589,1
46,floss,Old,manipulable,472,1
46,firetruck,New,nonmanipulable,752,1
46,Laine-NORHA,Old,NA,520,1
46,camcorder,Old,manipulable,604,0
46,weasel,New,nonmanipulable,551,1
46,Laine-KALKKU,Old,NA,511,1
46,potter8,Old,NA,885,1
46,Laine-LAVISTIN,New,NA,698,1
46,tank,New,nonmanipulable,626,1
46,bottle,New,manipulable,547,1
46,Laine-naskain,Old,NA,542,1
46,llama,Old,nonmanipulable,862,1
46,toaster,New,manipulable,563,1
46,Plank48,New,NA,841,1
46,potter3,New,NA,520,0
46,Plank49,Old,NA,928,1
46,dolphin,Old,nonmanipulable,532,1
46,trombone,Old,manipulable,891,1
46,brain,New,nonmanipulable,539,1
46,potter15,Old,NA,815,1
46,satellite,New,nonmanipulable,642,1
46,tape,Old,manipulable,462,1
46,stoplight,Old,nonmanipulable,438,1
46,Laine-MAALITSA,Old,NA,531,1
46,Laine-LISTIN,New,NA,574,1
46,Laine-kosseli,Old,NA,876,1
46,mammoth,New,nonmanipulable,609,1
46,platypus,Old,nonmanipulable,598,0
46,Laine-pynna,Old,NA,481,1
46,compass,New,manipulable,633,1
46,potter4,New,NA,562,0
46,Plank50,Old,NA,824,0
46,hose,Old,manipulable,591,1
46,barbell,Old,manipulable,542,1
46,Laine-HAAHLA,New,NA,595,1
46,seaturtle,New,nonmanipulable,677,1
46,plank108,New,NA,577,1
46,lighthouse,Old,nonmanipulable,831,1
46,Laine-liippa,New,NA,669,1
46,plant,Old,nonmanipulable,528,0
46,Laine-pintta,New,NA,771,1
46,strainer,Old,manipulable,537,1
46,colander,New,manipulable,484,0
46,Eals10,Old,NA,542,1
46,Eals29,Old,NA,559,1
46,potter29,New,NA,648,1
46,vacuum,Old,manipulable,571,1
46,Eals32,New,NA,709,0
